model,horizon,mae,rmse,temperature_true,temperature_pred,feels_like_true,feels_like_pred,humidity_true,humidity_pred,wind_speed_true,wind_speed_pred,gust_speed_true,gust_speed_pred,pressure_true,pressure_pred,precipitation_true,precipitation_pred,rain_probability_true,rain_probability_pred,snow_probability_true,snow_probability_pred,uv_index_true,uv_index_pred,dewpoint_true,dewpoint_pred,visibility_true,visibility_pred,cloud_true,cloud_pred
h6_ep50_bs64.pth,6,7.223057746887207,14.33603276109358,24.6,28.181606,26.9,31.615887,85.0,78.95281,2.9,10.97618,2.7,10.361438,1009.0,1013.708,0.0,0.18867327,0.0,37.31949,0.0,0.017764006,0.0,3.9710658,22.0,24.04004,10.0,9.84412,100.0,55.467274
h6_ep50_bs64.pth,6,7.223057746887207,14.33603276109358,24.6,28.024792,26.9,31.156235,85.0,78.06759,5.0,8.556107,4.7,8.055838,1010.0,1014.26086,0.0,0.20205116,45.0,39.07008,0.0,0.0146391075,0.0,4.5832253,22.0,23.552715,10.0,9.809508,41.0,57.323196
h6_ep50_bs64.pth,6,7.223057746887207,14.33603276109358,24.8,28.429838,27.1,31.710255,84.0,78.95075,5.8,7.2781715,5.1,7.1083107,1010.0,1018.9027,0.0,0.26236257,0.0,44.066017,0.0,0.016494391,6.0,4.7480917,22.0,24.005041,10.0,9.825531,42.0,62.28534
h6_ep50_bs64.pth,6,7.223057746887207,14.33603276109358,25.3,28.999712,27.6,32.445194,82.0,80.280426,8.3,6.346645,7.0,6.424981,1011.0,1029.9849,0.0,0.3468567,0.0,49.250942,0.0,0.022703668,7.0,4.9184494,22.0,24.60009,10.0,9.889339,38.0,67.30253
h6_ep50_bs64.pth,6,7.223057746887207,14.33603276109358,25.6,27.93109,27.8,30.864107,79.0,77.64131,10.4,7.8490586,8.7,7.3467646,1011.0,1013.67786,0.0,0.14657134,0.0,38.155922,0.0,0.031994324,7.0,4.787296,21.7,23.32916,10.0,9.789158,38.0,56.66597
h6_ep50_bs64.pth,6,7.223057746887207,14.33603276109358,25.9,29.361061,28.0,32.870064,76.0,81.04907,12.2,5.612356,10.2,5.8242493,1011.0,1038.1609,0.0,0.39911902,0.0,52.375694,0.0,0.027660115,7.0,5.0855246,21.4,24.92727,10.0,9.936158,36.0,70.36029
h6_ep50_bs64.pth,6,7.223057746887207,14.33603276109358,26.3,29.28425,28.4,32.7762,73.0,80.87101,11.5,5.853537,9.5,6.0182986,1011.0,1036.6898,0.0,0.39619437,0.0,51.804443,0.0,0.026883196,6.0,5.0551057,21.0,24.85293,10.0,9.929925,100.0,69.69315
h6_ep50_bs64.pth,6,7.223057746887207,14.33603276109358,26.5,27.340462,28.6,30.144728,71.0,77.467285,9.7,10.095853,8.1,9.273851,1010.0,1012.9969,0.0,0.2530151,45.0,44.60352,0.0,0.025163708,6.0,4.4962554,20.9,22.886429,10.0,9.696722,100.0,58.00394
h6_ep50_bs64.pth,6,7.223057746887207,14.33603276109358,26.7,29.068977,28.8,32.179535,70.0,76.52195,9.7,12.339975,8.1,11.13821,1009.0,1007.8932,0.0,0.3976308,0.0,40.198235,0.0,0.03424962,6.0,4.4807367,20.9,24.174713,10.0,9.620198,100.0,55.724693
h6_ep50_bs64.pth,6,7.223057746887207,14.33603276109358,26.9,29.211926,29.0,32.357918,70.0,76.485275,10.1,14.641758,8.4,13.051474,1008.0,1012.0304,0.0,0.40033454,0.0,36.59344,0.0,0.026624903,6.0,4.1743045,21.0,24.25958,10.0,9.680744,100.0,51.883595
